fieldname,label,type,required,example,validation,client_value,notes
designation_name,Designation Name,Data,Y,Designation A,unique within company,,autoname source
description,Description,Text,N,Role description here,free-form text,,shown on Employee + Leave docs
appraisal_template,Appraisal Template,Link→Appraisal Template,N,,must exist in tabAppraisal Template,,custom field — used if appraisal cycle linked
skills,Skills,Table→Designation Skill,N,,child rows,,custom field — required skills per role
