fieldname,label,type,required,example,validation,client_value,notes
name,Shift Name,Data,Y,Morning-8h,unique,,
start_time,Start Time,Time,Y,06:00:00,HH:MM:SS,,
end_time,End Time,Time,Y,14:00:00,HH:MM:SS,end<start = night shift,,
color,Color,Select,N,Blue,Blue/Cyan/Fuchsia/Green/Lime/Orange/Pink/Red/Violet/Yellow,,
enable_auto_attendance,Enable Auto Attendance,Check,N,1,0/1,,
process_attendance_after,Process Attendance After,Date,N,2026-09-01,required if enable_auto_attendance=1,,
working_hours_threshold_for_half_day,Half-Day Threshold (hrs),Float,N,4.0,0 disables,,
working_hours_threshold_for_absent,Absent Threshold (hrs),Float,N,0,0 disables,,
enable_late_entry_marking,Enable Late Entry Marking,Check,N,1,0/1,,
late_entry_grace_period,Late Entry Grace Period,Int,N,15,minutes,,
enable_early_exit_marking,Enable Early Exit Marking,Check,N,1,0/1,,
early_exit_grace_period,Early Exit Grace Period,Int,N,15,minutes,,
allow_overtime,Allow Overtime,Check,N,0,0/1,,
